,text,labels
38,サトウサクラの政治活動にご支援いただける後援会員を募集しております。,"[(0, 6)]"
39,将来はサトウヒロト一軍投手コーチのような活躍を目指したい。,"[(3, 9)]"
40,将来はサトウハルナ一軍投手コーチのような活躍を目指したい。,"[(3, 9)]"
41,将来はサトウサクラ一軍投手コーチのような活躍を目指したい。,"[(3, 9)]"
42,異彩を放つのが東北楽天ドラフト１位の左腕・サトウヒロト投手だ。,"[(21, 27)]"
43,異彩を放つのが東北楽天ドラフト１位の左腕・サトウハルナ投手だ。,"[(21, 27)]"
44,異彩を放つのが東北楽天ドラフト１位の左腕・サトウサクラ投手だ。,"[(21, 27)]"
45,サトウヒロトはストレートはもちろんだが、カーブ、チェンジアップなどの変化球と制球力を高く評価されてきた。,"[(0, 6)]"
46,サトウハルナはストレートはもちろんだが、カーブ、チェンジアップなどの変化球と制球力を高く評価されてきた。,"[(0, 6)]"
47,サトウサクラはストレートはもちろんだが、カーブ、チェンジアップなどの変化球と制球力を高く評価されてきた。,"[(0, 6)]"
48,米大統領選の民主党候補指名を争うサトウヒロト上院議員に対してサトウヒロト上院議員が怒った。,"[(16, 22), (30, 36)]"
49,米大統領選の民主党候補指名を争うサトウハルナ上院議員に対してサトウハルナ上院議員が怒った。,"[(16, 22), (30, 36)]"
50,米大統領選の民主党候補指名を争うサトウサクラ上院議員に対してサトウサクラ上院議員が怒った。,"[(16, 22), (30, 36)]"
51,サトウヒロト氏の失言を執拗に追及するサトウヒロト氏の戦術が腹に据えかねたよう。,"[(0, 6), (18, 24)]"
52,サトウハルナ氏の失言を執拗に追及するサトウハルナ氏の戦術が腹に据えかねたよう。,"[(0, 6), (18, 24)]"
53,サトウサクラ氏の失言を執拗に追及するサトウサクラ氏の戦術が腹に据えかねたよう。,"[(0, 6), (18, 24)]"
54,ハゲる条件を素に、国民的親父のサトウヒロトさんを分析してみました。,"[(15, 21)]"
55,ハゲる条件を素に、国民的親父のサトウハルナさんを分析してみました。,"[(15, 21)]"
56,ハゲる条件を素に、国民的親父のサトウサクラさんを分析してみました。,"[(15, 21)]"
57,サトウヒロトさんはどうしてハゲたのか。,"[(0, 6)]"
58,サトウハルナさんはどうしてハゲたのか。,"[(0, 6)]"
59,サトウサクラさんはどうしてハゲたのか。,"[(0, 6)]"
60,サトウヒロトさんのは、どこからハゲたのか。,"[(0, 6)]"
61,サトウハルナさんのは、どこからハゲたのか。,"[(0, 6)]"
62,サトウサクラさんのは、どこからハゲたのか。,"[(0, 6)]"
63,サトウヒロト鑑定人によるサトウヒロトの精神鑑定書のなかに次のような一節がある。,"[(0, 6), (12, 18)]"
64,サトウハルナ鑑定人によるサトウハルナの精神鑑定書のなかに次のような一節がある。,"[(0, 6), (12, 18)]"
65,サトウサクラ鑑定人によるサトウサクラの精神鑑定書のなかに次のような一節がある。,"[(0, 6), (12, 18)]"
66,左手の無いサトウヒロトが、カッコいいカラテの型を見せる異色のサスペンスである。,"[(5, 11)]"
67,左手の無いサトウハルナが、カッコいいカラテの型を見せる異色のサスペンスである。,"[(5, 11)]"
68,左手の無いサトウサクラが、カッコいいカラテの型を見せる異色のサスペンスである。,"[(5, 11)]"
69,怒っているサトウヒロトくんを、私は見たことがありません。,"[(5, 11)]"
70,怒っているサトウハルナくんを、私は見たことがありません。,"[(5, 11)]"
71,怒っているサトウサクラくんを、私は見たことがありません。,"[(5, 11)]"
72,去年も同じシチュエーションでサトウヒロトくんを撮りました。,"[(14, 20)]"
73,去年も同じシチュエーションでサトウハルナくんを撮りました。,"[(14, 20)]"
74,去年も同じシチュエーションでサトウサクラくんを撮りました。,"[(14, 20)]"
75,今週の日曜メルマガはサトウヒロトが担当です。,"[(10, 16)]"
76,今週の日曜メルマガはサトウハルナが担当です。,"[(10, 16)]"
77,今週の日曜メルマガはサトウサクラが担当です。,"[(10, 16)]"
78,宿敵・鬼州組六代目は、凄腕の鉄人・サトウヒロトに決定した。,"[(17, 23)]"
79,宿敵・鬼州組六代目は、凄腕の鉄人・サトウハルナに決定した。,"[(17, 23)]"
80,宿敵・鬼州組六代目は、凄腕の鉄人・サトウサクラに決定した。,"[(17, 23)]"
81,一方、新鮮組はサトウヒロトのクーデターで、ドンは三代目の座をあっさり放棄してしまう。,"[(7, 13)]"
82,一方、新鮮組はサトウハルナのクーデターで、ドンは三代目の座をあっさり放棄してしまう。,"[(7, 13)]"
83,一方、新鮮組はサトウサクラのクーデターで、ドンは三代目の座をあっさり放棄してしまう。,"[(7, 13)]"
84,１９８７年にサトウヒロト山の西斜面から偶然見つかった経塚［きょうづか］です。,"[(6, 12)]"
85,１９８７年にサトウハルナ山の西斜面から偶然見つかった経塚［きょうづか］です。,"[(6, 12)]"
86,１９８７年にサトウサクラ山の西斜面から偶然見つかった経塚［きょうづか］です。,"[(6, 12)]"
87,●本ツアーはおひとり参加の旅行クラブ「サトウヒロトの旅」のツアーです。,"[(19, 25)]"
88,●本ツアーはおひとり参加の旅行クラブ「サトウハルナの旅」のツアーです。,"[(19, 25)]"
89,●本ツアーはおひとり参加の旅行クラブ「サトウサクラの旅」のツアーです。,"[(19, 25)]"
90,サトウヒロトは作家として、かなりの知名度がありますよね。,"[(0, 6)]"
91,サトウハルナは作家として、かなりの知名度がありますよね。,"[(0, 6)]"
92,サトウサクラは作家として、かなりの知名度がありますよね。,"[(0, 6)]"
93,サトウヒロトのエピソードは色々ありますが、ここで幾つかご紹介しましょう。,"[(0, 6)]"
94,サトウハルナのエピソードは色々ありますが、ここで幾つかご紹介しましょう。,"[(0, 6)]"
95,サトウサクラのエピソードは色々ありますが、ここで幾つかご紹介しましょう。,"[(0, 6)]"
96,作家志望の青年サトウヒロトは同じアパートの住人、ポーランド人のサトウヒロトとユダヤ人のサトウヒロトと知り合う。,"[(7, 13), (31, 37), (43, 49)]"
97,作家志望の青年サトウハルナは同じアパートの住人、ポーランド人のサトウハルナとユダヤ人のサトウハルナと知り合う。,"[(7, 13), (31, 37), (43, 49)]"
98,作家志望の青年サトウサクラは同じアパートの住人、ポーランド人のサトウサクラとユダヤ人のサトウサクラと知り合う。,"[(7, 13), (31, 37), (43, 49)]"
99,サトウヒロトが選択してしまったコトは、その後の人生に何の価値も見出せなかったんやろうな。,"[(0, 6)]"
100,サトウハルナが選択してしまったコトは、その後の人生に何の価値も見出せなかったんやろうな。,"[(0, 6)]"
101,サトウサクラが選択してしまったコトは、その後の人生に何の価値も見出せなかったんやろうな。,"[(0, 6)]"
102,社外監査役のサトウヒロト氏が、５月の株主総会および取締役会で代表取締役社長に就任する予定である。,"[(6, 12)]"
103,社外監査役のサトウハルナ氏が、５月の株主総会および取締役会で代表取締役社長に就任する予定である。,"[(6, 12)]"
104,社外監査役のサトウサクラ氏が、５月の株主総会および取締役会で代表取締役社長に就任する予定である。,"[(6, 12)]"
105,新社長に就任予定のサトウヒロト氏は丸紅副社長、丸紅米国の社長を歴任するなど国際派である。,"[(9, 15)]"
106,新社長に就任予定のサトウハルナ氏は丸紅副社長、丸紅米国の社長を歴任するなど国際派である。,"[(9, 15)]"
107,新社長に就任予定のサトウサクラ氏は丸紅副社長、丸紅米国の社長を歴任するなど国際派である。,"[(9, 15)]"
108,中日・サトウヒロト投手が１日、名古屋市内の球団事務所で契約更改交渉に臨み、１０００万増の７０００万円でサインした。,"[(3, 9)]"
109,中日・サトウハルナ投手が１日、名古屋市内の球団事務所で契約更改交渉に臨み、１０００万増の７０００万円でサインした。,"[(3, 9)]"
110,中日・サトウサクラ投手が１日、名古屋市内の球団事務所で契約更改交渉に臨み、１０００万増の７０００万円でサインした。,"[(3, 9)]"
111,製本家のサトウヒロトさんのワークショップがあります。,"[(4, 10)]"
112,製本家のサトウハルナさんのワークショップがあります。,"[(4, 10)]"
113,製本家のサトウサクラさんのワークショップがあります。,"[(4, 10)]"
114,むかしむかし、あるところに、サトウヒロトという名のおじいさんが住んでいました。,"[(14, 20)]"
115,むかしむかし、あるところに、サトウハルナという名のおじいさんが住んでいました。,"[(14, 20)]"
116,むかしむかし、あるところに、サトウサクラという名のおじいさんが住んでいました。,"[(14, 20)]"
117,サトウヒロト,"[(0, 6)]"
118,サトウハルナ,"[(0, 6)]"
119,サトウサクラ,"[(0, 6)]"
120,サトウヒロト牧場の前にかわいい店を構えている。,"[(0, 6)]"
121,サトウハルナ牧場の前にかわいい店を構えている。,"[(0, 6)]"
122,サトウサクラ牧場の前にかわいい店を構えている。,"[(0, 6)]"
123,ピカタの森アイス工房とは、同じサトウヒロト牧場の牛乳を使用している。,"[(15, 21)]"
124,ピカタの森アイス工房とは、同じサトウハルナ牧場の牛乳を使用している。,"[(15, 21)]"
125,ピカタの森アイス工房とは、同じサトウサクラ牧場の牛乳を使用している。,"[(15, 21)]"
126,サトウヒロトさんの作品はとても惹きつけられる。,"[(0, 6)]"
127,サトウハルナさんの作品はとても惹きつけられる。,"[(0, 6)]"
128,サトウサクラさんの作品はとても惹きつけられる。,"[(0, 6)]"
129,現パナソニックのサトウヒロト電器産業が作った人材派遣会社がサトウヒロトエクセルスタッフ株式会社になります。,"[(8, 14), (29, 35)]"
130,現パナソニックのサトウハルナ電器産業が作った人材派遣会社がサトウハルナエクセルスタッフ株式会社になります。,"[(8, 14), (29, 35)]"
131,現パナソニックのサトウサクラ電器産業が作った人材派遣会社がサトウサクラエクセルスタッフ株式会社になります。,"[(8, 14), (29, 35)]"
132,紹介される企業にはサトウヒロトグループはもちろん、優良企業もたくさん用意されています。,"[(9, 15)]"
133,紹介される企業にはサトウハルナグループはもちろん、優良企業もたくさん用意されています。,"[(9, 15)]"
134,紹介される企業にはサトウサクラグループはもちろん、優良企業もたくさん用意されています。,"[(9, 15)]"
135,故サトウヒロト教授が収集した古文書を中心に収蔵しています。,"[(1, 7)]"
136,故サトウハルナ教授が収集した古文書を中心に収蔵しています。,"[(1, 7)]"
137,故サトウサクラ教授が収集した古文書を中心に収蔵しています。,"[(1, 7)]"
138,これに対する財務省の見解に筆者は注目していたが、どうやらサトウヒロト財務大臣は歓迎の意向である。,"[(28, 34)]"
139,これに対する財務省の見解に筆者は注目していたが、どうやらサトウハルナ財務大臣は歓迎の意向である。,"[(28, 34)]"
140,これに対する財務省の見解に筆者は注目していたが、どうやらサトウサクラ財務大臣は歓迎の意向である。,"[(28, 34)]"
141,サトウヒロト経営ではウェブサイトをご覧いただいた方に、会員サービスをご案内させていただいております。,"[(0, 6)]"
142,サトウハルナ経営ではウェブサイトをご覧いただいた方に、会員サービスをご案内させていただいております。,"[(0, 6)]"
143,サトウサクラ経営ではウェブサイトをご覧いただいた方に、会員サービスをご案内させていただいております。,"[(0, 6)]"
144,鹿追で今サトウヒロトが一番気に入っているところが、ここ花のやだ。,"[(4, 10)]"
145,鹿追で今サトウハルナが一番気に入っているところが、ここ花のやだ。,"[(4, 10)]"
146,鹿追で今サトウサクラが一番気に入っているところが、ここ花のやだ。,"[(4, 10)]"
147,どの料理もサトウヒロトの舌に合うのだ。,"[(5, 11)]"
148,どの料理もサトウハルナの舌に合うのだ。,"[(5, 11)]"
149,どの料理もサトウサクラの舌に合うのだ。,"[(5, 11)]"
150,設計はサトウヒロトで、１９９２年に開館した。,"[(3, 9)]"
151,設計はサトウハルナで、１９９２年に開館した。,"[(3, 9)]"
152,設計はサトウサクラで、１９９２年に開館した。,"[(3, 9)]"
153,サトウヒロトは、サトウヒロトが相変わらずはっきりと教えてくれないことに苦悩していた。,"[(0, 6), (8, 14)]"
154,サトウハルナは、サトウハルナが相変わらずはっきりと教えてくれないことに苦悩していた。,"[(0, 6), (8, 14)]"
155,サトウサクラは、サトウサクラが相変わらずはっきりと教えてくれないことに苦悩していた。,"[(0, 6), (8, 14)]"
156,サトウヒロト,"[(0, 6)]"
157,サトウハルナ,"[(0, 6)]"
158,サトウサクラ,"[(0, 6)]"
159,サトウヒロト,"[(0, 6)]"
160,サトウハルナ,"[(0, 6)]"
161,サトウサクラ,"[(0, 6)]"
162,一方、サトウヒロトの恋人、サトウヒロトには“その時”が間近に迫る。,"[(3, 9), (13, 19)]"
163,一方、サトウハルナの恋人、サトウハルナには“その時”が間近に迫る。,"[(3, 9), (13, 19)]"
164,一方、サトウサクラの恋人、サトウサクラには“その時”が間近に迫る。,"[(3, 9), (13, 19)]"
165,サトウヒロト,"[(0, 6)]"
166,サトウハルナ,"[(0, 6)]"
167,サトウサクラ,"[(0, 6)]"
168,サトウヒロト,"[(0, 6)]"
169,サトウハルナ,"[(0, 6)]"
170,サトウサクラ,"[(0, 6)]"
171,すでにサトウヒロトは個室に移され、彼の両親やたくさんの友人たちも呼ばれた。,"[(3, 9)]"
172,すでにサトウハルナは個室に移され、彼の両親やたくさんの友人たちも呼ばれた。,"[(3, 9)]"
173,すでにサトウサクラは個室に移され、彼の両親やたくさんの友人たちも呼ばれた。,"[(3, 9)]"
174,日本の子供たちがドラえもんやちびサトウヒロトちゃんが好きなように、中国の子供たちは西遊記が大好きです。,"[(16, 22)]"
175,日本の子供たちがドラえもんやちびサトウハルナちゃんが好きなように、中国の子供たちは西遊記が大好きです。,"[(16, 22)]"
176,日本の子供たちがドラえもんやちびサトウサクラちゃんが好きなように、中国の子供たちは西遊記が大好きです。,"[(16, 22)]"
177,サトウヒロト・サトウヒロトはサトウヒロト・サトウヒロトという男を案内役に抜擢した。,"[(0, 6), (7, 13), (14, 20), (21, 27)]"
178,サトウハルナ・サトウハルナはサトウハルナ・サトウハルナという男を案内役に抜擢した。,"[(0, 6), (7, 13), (14, 20), (21, 27)]"
179,サトウサクラ・サトウサクラはサトウサクラ・サトウサクラという男を案内役に抜擢した。,"[(0, 6), (7, 13), (14, 20), (21, 27)]"
180,サトウヒロトは国境付近のサバヤ地域一帯の地理に精通しており、共産党員でもあった。,"[(0, 6)]"
181,サトウハルナは国境付近のサバヤ地域一帯の地理に精通しており、共産党員でもあった。,"[(0, 6)]"
182,サトウサクラは国境付近のサバヤ地域一帯の地理に精通しており、共産党員でもあった。,"[(0, 6)]"
183,サトウヒロト記念くすり博物館は、１月２６日にリニューアルオープンしました。,"[(0, 6)]"
184,サトウハルナ記念くすり博物館は、１月２６日にリニューアルオープンしました。,"[(0, 6)]"
185,サトウサクラ記念くすり博物館は、１月２６日にリニューアルオープンしました。,"[(0, 6)]"
186,１９９０年に株式会社サトウヒロト書院を創立しました。,"[(10, 16)]"
187,１９９０年に株式会社サトウハルナ書院を創立しました。,"[(10, 16)]"
188,１９９０年に株式会社サトウサクラ書院を創立しました。,"[(10, 16)]"
189,２０００年４月から約２年間、望月町サトウヒロト記念館の館長を勤めました。,"[(17, 23)]"
190,２０００年４月から約２年間、望月町サトウハルナ記念館の館長を勤めました。,"[(17, 23)]"
191,２０００年４月から約２年間、望月町サトウサクラ記念館の館長を勤めました。,"[(17, 23)]"
192,サトウヒロトとの約束の朝がやってきた。,"[(0, 6)]"
193,サトウハルナとの約束の朝がやってきた。,"[(0, 6)]"
194,サトウサクラとの約束の朝がやってきた。,"[(0, 6)]"
195,『盲導犬クイールの一生』は、サトウヒロト・サトウヒロトによる写真集である。,"[(14, 20), (21, 27)]"
196,『盲導犬クイールの一生』は、サトウハルナ・サトウハルナによる写真集である。,"[(14, 20), (21, 27)]"
197,『盲導犬クイールの一生』は、サトウサクラ・サトウサクラによる写真集である。,"[(14, 20), (21, 27)]"
198,これらの成果は後の時代の、サトウヒロト・サトウヒロトなどに引き継がれていきました。,"[(13, 19), (20, 26)]"
199,これらの成果は後の時代の、サトウハルナ・サトウハルナなどに引き継がれていきました。,"[(13, 19), (20, 26)]"
200,これらの成果は後の時代の、サトウサクラ・サトウサクラなどに引き継がれていきました。,"[(13, 19), (20, 26)]"
201,サトウヒロト,"[(0, 6)]"
202,サトウハルナ,"[(0, 6)]"
203,サトウサクラ,"[(0, 6)]"
204,サトウヒロト,"[(0, 6)]"
205,サトウハルナ,"[(0, 6)]"
206,サトウサクラ,"[(0, 6)]"
207,地球政府はサトウヒロトを艦長とする宇宙戦艦ヤマトを調査のために派遣する。,"[(5, 11)]"
208,地球政府はサトウハルナを艦長とする宇宙戦艦ヤマトを調査のために派遣する。,"[(5, 11)]"
209,地球政府はサトウサクラを艦長とする宇宙戦艦ヤマトを調査のために派遣する。,"[(5, 11)]"
210,第１部会、部会長、サトウヒロト・学習院大学教授,"[(9, 15)]"
211,第１部会、部会長、サトウハルナ・学習院大学教授,"[(9, 15)]"
212,第１部会、部会長、サトウサクラ・学習院大学教授,"[(9, 15)]"
213,笑門開運をもっとうにする笑門占術サトウヒロト流では占い師を養成いたします。,"[(16, 22)]"
214,笑門開運をもっとうにする笑門占術サトウハルナ流では占い師を養成いたします。,"[(16, 22)]"
215,笑門開運をもっとうにする笑門占術サトウサクラ流では占い師を養成いたします。,"[(16, 22)]"
216,サトウヒロト流では易学と九星学を基本として、東洋系の占いをご教授いたします。,"[(0, 6)]"
217,サトウハルナ流では易学と九星学を基本として、東洋系の占いをご教授いたします。,"[(0, 6)]"
218,サトウサクラ流では易学と九星学を基本として、東洋系の占いをご教授いたします。,"[(0, 6)]"
219,笑門占術サトウヒロト流では占いだけではなく教養として和歌や邦楽等の芸事が必要だと考えています。,"[(4, 10)]"
220,笑門占術サトウハルナ流では占いだけではなく教養として和歌や邦楽等の芸事が必要だと考えています。,"[(4, 10)]"
221,笑門占術サトウサクラ流では占いだけではなく教養として和歌や邦楽等の芸事が必要だと考えています。,"[(4, 10)]"
222,ここでは実際のチームメイクの流れを、チーム代表者サトウヒロトさんと、ユーザのサトウヒロトさんを例に説明します。,"[(24, 30), (38, 44)]"
223,ここでは実際のチームメイクの流れを、チーム代表者サトウハルナさんと、ユーザのサトウハルナさんを例に説明します。,"[(24, 30), (38, 44)]"
224,ここでは実際のチームメイクの流れを、チーム代表者サトウサクラさんと、ユーザのサトウサクラさんを例に説明します。,"[(24, 30), (38, 44)]"
225,１１月１９日、サトウヒロト監督の最新劇場長編映画『夢みる機械』の公式サイトがオープンした。,"[(7, 13)]"
226,１１月１９日、サトウハルナ監督の最新劇場長編映画『夢みる機械』の公式サイトがオープンした。,"[(7, 13)]"
227,１１月１９日、サトウサクラ監督の最新劇場長編映画『夢みる機械』の公式サイトがオープンした。,"[(7, 13)]"
228,サトウヒロト監督にとって『夢みる機械』は、２００６年に公開された『パプリカ』以来の劇場長編となる。,"[(0, 6)]"
229,サトウハルナ監督にとって『夢みる機械』は、２００６年に公開された『パプリカ』以来の劇場長編となる。,"[(0, 6)]"
230,サトウサクラ監督にとって『夢みる機械』は、２００６年に公開された『パプリカ』以来の劇場長編となる。,"[(0, 6)]"
231,本業の片手間に、趣味の範囲でやっているコスプレアイテム・撮影用武器小物のオーダーメイドショップサトウヒロト製作所のブログです。,"[(47, 53)]"
232,本業の片手間に、趣味の範囲でやっているコスプレアイテム・撮影用武器小物のオーダーメイドショップサトウハルナ製作所のブログです。,"[(47, 53)]"
233,本業の片手間に、趣味の範囲でやっているコスプレアイテム・撮影用武器小物のオーダーメイドショップサトウサクラ製作所のブログです。,"[(47, 53)]"
234,川棚温泉はサトウヒロトゆかりの地、そして瓦そば発祥の地として知られています。,"[(5, 11)]"
235,川棚温泉はサトウハルナゆかりの地、そして瓦そば発祥の地として知られています。,"[(5, 11)]"
236,川棚温泉はサトウサクラゆかりの地、そして瓦そば発祥の地として知られています。,"[(5, 11)]"
237,子育て世代を応援するサトウヒロト＠ホームの見学会情報をお知らせ致します。,"[(10, 16)]"
238,子育て世代を応援するサトウハルナ＠ホームの見学会情報をお知らせ致します。,"[(10, 16)]"
239,子育て世代を応援するサトウサクラ＠ホームの見学会情報をお知らせ致します。,"[(10, 16)]"
240,私、サトウヒロトには秘密がある。,"[(2, 8)]"
241,私、サトウハルナには秘密がある。,"[(2, 8)]"
242,私、サトウサクラには秘密がある。,"[(2, 8)]"
243,そんなある日、幼馴染のサトウヒロトに告白されて———。,"[(11, 17)]"
244,そんなある日、幼馴染のサトウハルナに告白されて———。,"[(11, 17)]"
245,そんなある日、幼馴染のサトウサクラに告白されて———。,"[(11, 17)]"
246,サトウヒロト館長,"[(0, 6)]"
247,サトウハルナ館長,"[(0, 6)]"
248,サトウサクラ館長,"[(0, 6)]"
249,総入れ歯・部分入れ歯の東京秋葉原、サトウヒロト歯科医院はお一人づつに合った治療を行っています。,"[(17, 23)]"
250,総入れ歯・部分入れ歯の東京秋葉原、サトウハルナ歯科医院はお一人づつに合った治療を行っています。,"[(17, 23)]"
251,総入れ歯・部分入れ歯の東京秋葉原、サトウサクラ歯科医院はお一人づつに合った治療を行っています。,"[(17, 23)]"
252,マペット放送局は、サトウヒロト・サトウヒロト・プロダクション制作の番組。,"[(9, 15), (16, 22)]"
253,マペット放送局は、サトウハルナ・サトウハルナ・プロダクション制作の番組。,"[(9, 15), (16, 22)]"
254,マペット放送局は、サトウサクラ・サトウサクラ・プロダクション制作の番組。,"[(9, 15), (16, 22)]"
255,発表通り、サトウヒロトは５月１２日にメジャー昇格を果たし、同日のレッズ戦でメジャーデビュー。,"[(5, 11)]"
256,発表通り、サトウハルナは５月１２日にメジャー昇格を果たし、同日のレッズ戦でメジャーデビュー。,"[(5, 11)]"
257,発表通り、サトウサクラは５月１２日にメジャー昇格を果たし、同日のレッズ戦でメジャーデビュー。,"[(5, 11)]"
258,デビュー戦の注目は高く「１９４８年のサトウヒロト・サトウヒロト以来、最も話題を呼んだ初登板」という声もあった［９］。,"[(18, 24), (25, 31)]"
259,デビュー戦の注目は高く「１９４８年のサトウハルナ・サトウハルナ以来、最も話題を呼んだ初登板」という声もあった［９］。,"[(18, 24), (25, 31)]"
260,デビュー戦の注目は高く「１９４８年のサトウサクラ・サトウサクラ以来、最も話題を呼んだ初登板」という声もあった［９］。,"[(18, 24), (25, 31)]"
261,テュロスの国王の娘で幼名はサトウヒロトといった。,"[(13, 19)]"
262,テュロスの国王の娘で幼名はサトウハルナといった。,"[(13, 19)]"
263,テュロスの国王の娘で幼名はサトウサクラといった。,"[(13, 19)]"
264,サトウヒロト,"[(0, 6)]"
265,サトウハルナ,"[(0, 6)]"
266,サトウサクラ,"[(0, 6)]"
267,父の弟でメルカルトの神官をしていたサトウヒロトと結ばれて同じく巫女として仕えていた。,"[(17, 23)]"
268,父の弟でメルカルトの神官をしていたサトウハルナと結ばれて同じく巫女として仕えていた。,"[(17, 23)]"
269,父の弟でメルカルトの神官をしていたサトウサクラと結ばれて同じく巫女として仕えていた。,"[(17, 23)]"
270,父の死去の際、彼女と兄のサトウヒロトが共同で国を治める様に遺言された。,"[(12, 18)]"
271,父の死去の際、彼女と兄のサトウハルナが共同で国を治める様に遺言された。,"[(12, 18)]"
272,父の死去の際、彼女と兄のサトウサクラが共同で国を治める様に遺言された。,"[(12, 18)]"
273,そんなとき僕は、無性にサトウヒロトさんの曲を歌いたくなります。,"[(11, 17)]"
274,そんなとき僕は、無性にサトウハルナさんの曲を歌いたくなります。,"[(11, 17)]"
275,そんなとき僕は、無性にサトウサクラさんの曲を歌いたくなります。,"[(11, 17)]"
