name,rank,kanji,katakana,hiragana,roma
橋北,20042,橋北,キョウホク,きょうほく,kyouhoku
黒上,20043,黒上,クロウエ,くろうえ,kuroue
泉崎,20044,泉崎,イズミサキ,いずみさき,izumisaki
馬川,20045,馬川,ウマカワ,うまかわ,umakawa
宇仁菅,20046,宇仁菅,ウジンカン,うじんかん,ujinkan
牟禮,20047,牟禮,ムレ,むれ,mure
頼政,20048,頼政,ヨリマサ,よりまさ,yorimasa
鳥屋部,20049,鳥屋部,トリヤベ,とりやべ,toriyabe
礒脇,20050,礒脇,ギワキ,ぎわき,giwaki
綿重,39901,綿重,メンジュウ,めんじゅう,menjuu
犬窪,39902,犬窪,イヌクボ,いぬくぼ,inukubo
河原市,39903,河原市,カワラシ,かわらし,kawarashi
吾子,39904,吾子,ワガコ,わがこ,wagako
小枝指,39905,小枝指,コエダユビ,こえだゆび,koedayubi
農見,39906,農見,ノウケン,のうけん,nouken
稲置,39907,稲置,イナキ,いなき,inaki
庵崎,39908,庵崎,イオリサキ,いおりさき,iorisaki
木津田,39909,木津田,キヅタ,きづた,kizuta
美宅,39910,美宅,ビタク,びたく,bitaku
叶本,39911,叶本,カノウホン,かのうほん,kanouhon
黒磯,39912,黒磯,クロイソ,くろいそ,kuroiso
加賀尾,39913,加賀尾,カガオ,かがお,kagao
鳥堂,39914,鳥堂,トリドウ,とりどう,toridou
箕手,39915,箕手,ミテ,みて,mite
大俣,39916,大俣,オオマタ,おおまた,omata
廣畠,39917,廣畠,コウハタケ,こうはたけ,kohatake
白次,39918,白次,シロツギ,しろつぎ,shirotsugi
水戸口,39919,水戸口,ミトクチ,みとくち,mitokuchi
榎垣,39920,榎垣,エノキカキ,えのきかき,enokikaki
渕口,39921,渕口,フチクチ,ふちくち,fuchikuchi
町沢,39922,町沢,マチザワ,まちざわ,machizawa
小辺,39923,小辺,ショウヘン,しょうへん,shouhen
多久間,39924,多久間,タクカン,たくかん,takukan
差ケ久保,39925,差ケ久保,サケクボ,さけくぼ,sakekubo
閏野,39926,閏野,ウルウノ,うるうの,uruuno
塘地,39927,塘地,トウチ,とうち,tochi
門見,39928,門見,モンケン,もんけん,monken
周布,39929,周布,スフ,すふ,sufu
宮幸,39930,宮幸,ミヤサチ,みやさち,miyasachi
論田,39931,論田,ロンタ,ろんた,ronta
俊正,39932,俊正,トシマサ,としまさ,toshimasa
坂岩,39933,坂岩,サカイワ,さかいわ,sakaiwa
内立元,39934,内立元,ウチダテモト,うちだてもと,uchidatemoto
穴南,39935,穴南,アナミナミ,あなみなみ,anaminami
馬形,39936,馬形,ウマガタ,うまがた,umagata
片ケ瀬,39937,片ケ瀬,ヘンケセ,へんけせ,henkese
橋尻,39938,橋尻,ハシシリ,はししり,hashishiri
油石,39939,油石,アブライシ,あぶらいし,aburaishi
堂之下,39940,堂之下,ドウユキシタ,どうゆきした,douyukishita
細井戸,39941,細井戸,ホソイコ,ほそいこ,hosoiko
代高田,39942,代高田,ダイタカダ,だいたかだ,daitakada
峯友,39943,峯友,ミネトモ,みねとも,minetomo
鷹城,39944,鷹城,タカシロ,たかしろ,takashiro
風藤,39945,風藤,カゼフジ,かぜふじ,kazefuji
雲林,39946,雲林,ウンリン,うんりん,unrin
小松尾,39947,小松尾,コマツオ,こまつお,komatsuo
杼村,39948,杼村,ヒムラ,ひむら,himura
工谷,39949,工谷,コウタニ,こうたに,kotani
佐和橋,39950,佐和橋,サワハシ,さわはし,sawahashi
細埜,39951,細埜,サイノ,さいの,saino
菅浦,39952,菅浦,スガウラ,すがうら,sugaura
北子,39953,北子,ホクシ,ほくし,hokushi
萩之内,39954,萩之内,ハギユキナイ,はぎゆきない,hagiyukinai
瀬戸野,39955,瀬戸野,セトノ,せとの,setono
館ケ沢,39956,館ケ沢,カンケサワ,かんけさわ,kankesawa
鳥野見,39957,鳥野見,トリノミ,とりのみ,torinomi
神羽,39958,神羽,カミハネ,かみはね,kamihane
大子,39959,大子,オオゴ,おおご,ogo
鹿討,39960,鹿討,シカトウ,しかとう,shikato
桜打,39961,桜打,サクラダ,さくらだ,sakurada
姫城,39962,姫城,ヒメシロ,ひめしろ,himeshiro
馬替,39963,馬替,ウマカエ,うまかえ,umakae
観田,39964,観田,カンタ,かんた,kanta
久中,39965,久中,キュウナカ,きゅうなか,kyuunaka
音在,39966,音在,オトザイ,おとざい,otozai
流水,39967,流水,リュウスイ,りゅうすい,ryuusui
上当,39968,上当,ウエトウ,うえとう,ueto
浦船,39969,浦船,ウラフネ,うらふね,urafune
代崎,39970,代崎,ダイサキ,だいさき,daisaki
石投,39971,石投,イシトウ,いしとう,ishito
白嶋,39972,白嶋,シロシマ,しろしま,shiroshima
仲小路,39973,仲小路,ナカコウジ,なかこうじ,nakakoji
澤池,39974,澤池,サワイケ,さわいけ,sawaike
永二,39975,永二,エイジ,えいじ,eiji
孝忠,39976,孝忠,タカタダ,たかただ,takatada
重並,39977,重並,ジュウナミ,じゅうなみ,juunami
味見,39978,味見,アジミ,あじみ,ajimi
衡田,39979,衡田,コウタ,こうた,kota
盛戸,39980,盛戸,ジョウコ,じょうこ,jouko
藤丘,39981,藤丘,フジオカ,ふじおか,fujioka
鏡内,39982,鏡内,カガミナイ,かがみない,kagaminai
巨泉,39983,巨泉,キョセン,きょせん,kyosen
笹舘,39984,笹舘,ササカン,ささかん,sasakan
室久,39985,室久,シツキュウ,しつきゅう,shitsukyuu
居鳥,39986,居鳥,キョトリ,きょとり,kyotori
遠屋,39987,遠屋,エンヤ,えんや,enya
川ノ口,39988,川ノ口,カワノクチ,かわのくち,kawanokuchi
大裏,39989,大裏,ダイウラ,だいうら,daiura
雲母,39990,雲母,ウンモ,うんも,ummo
光明寺,39991,光明寺,コウミョウテラ,こうみょうてら,komyoutera
鍬谷,39992,鍬谷,クワタニ,くわたに,kuwatani
市ノ澤,39993,市ノ澤,シノサワ,しのさわ,shinosawa
冨米野,39994,冨米野,トミコメノ,とみこめの,tomikomeno
紀陸,39995,紀陸,キリク,きりく,kiriku
陰,39996,陰,イン,いん,in
日名川,39997,日名川,ニチナガワ,にちながわ,nichinagawa
梶梅,39998,梶梅,カジウメ,かじうめ,kajiume
西途,39999,西途,ニシト,にしと,nishito
鈴記,40000,鈴記,スズキ,すずき,suzuki
